1 	143 	2811 - StormBots 	65 [PNW District Clackamas Academy Event] 	78 [PNW District SunDome Event] 	--- 	--- 	0
2 	134 	2046 - Bear Metal 	73 [PNW District Clackamas Academy Event] 	61 [PNW District Auburn Event] 	--- 	--- 	0
3 	132 	5803 - Apex Robotics 	59 [PNW District Clackamas Academy Event] 	73 [PNW District Auburn Event] 	--- 	--- 	0
4 	119 	1318 - Issaquah Robotics Society 	44 [PNW District Mount Vernon Event] 	75 [PNW District SunDome Event] 	Qualified 	--- 	0
5 	98 	6831 - A-05 Annex 	45 [PNW District Clackamas Academy Event] 	43 [PNW District SunDome Event] 	--- 	--- 	10
6 	96 	3711 - Iron Mustang 	35 [PNW District Clackamas Academy Event] 	61 [PNW District SunDome Event] 	--- 	--- 	0
7 	95 	488 - Team XBot 	51 [PNW District Mount Vernon Event] 	44 [PNW District Auburn Event] 	--- 	--- 	0
8 	87 	2605 - Seamonsters 	43 [PNW District Mount Vernon Event] 	44 [PNW District Auburn Event] 	--- 	--- 	0
9 	85 	4125 - Confidential 	43 [PNW District Clackamas Academy Event] 	42 [PNW District SunDome Event] 	Qualified 	--- 	0
10 	80 	1540 - Flaming Chickens 	41 [PNW District Clackamas Academy Event] 	39 [PNW District Wilsonville Event] 	--- 	Qualified 	0
11 	76 	2374 - Crusader Bots 	27 [PNW District Clackamas Academy Event] 	49 [PNW District Wilsonville Event] 	--- 	--- 	0
12 	73 	1425 - Error Code Xero 	73 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
13 	72 	4513 - Circuit Breakers 	72 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	0
14 	69 	2471 - Team Mean Machine 	69 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
15 	69 	1983 - Skunk Works Robotics 	69 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
16 	69 	2910 - Jack in the Bot 	69 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
17 	69 	4469 - R.A.I.D. (Raider Artificial In... 	23 [PNW District Mount Vernon Event] 	46 [PNW District Auburn Event] 	--- 	--- 	0
18 	68 	5468 - Chaos Theory 	42 [PNW District Clackamas Academy Event] 	26 [PNW District SunDome Event] 	--- 	--- 	0
19 	68 	3238 - Cyborg Ferrets 	37 [PNW District Mount Vernon Event] 	31 [PNW District Auburn Event] 	--- 	--- 	0
20 	64 	2557 - SOTAbots 	64 [PNW District Auburn Event] 	Not Played 	Qualified 	--- 	0
21 	62 	2147 - CHUCK 	62 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
22 	61 	957 - SWARM 	61 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
23 	60 	4061 - SciBorgs 	60 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
24 	60 	6445 - CTEC Robotics 	29 [PNW District Clackamas Academy Event] 	26 [PNW District Wilsonville Event] 	--- 	--- 	5
25 	60 	6845 - River Bots 	19 [PNW District Clackamas Academy Event] 	31 [PNW District Wilsonville Event] 	--- 	--- 	10
26 	59 	2990 - Hotwire 	59 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
27 	58 	3826 - Sequim Robotics Federation "SR... 	34 [PNW District Mount Vernon Event] 	24 [PNW District SunDome Event] 	--- 	--- 	0
28 	54 	4915 - Spartronics 	54 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
29 	54 	4450 - Olympia Robotics Federation 	54 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
30 	54 	5588 - Reign Robotics 	27 [PNW District Mount Vernon Event] 	27 [PNW District Auburn Event] 	--- 	--- 	0
31 	51 	753 - High Desert Droids 	23 [PNW District Clackamas Academy Event] 	28 [PNW District Wilsonville Event] 	--- 	--- 	0
32 	50 	3575 - Okanogan FFA 	50 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
33 	50 	6696 - Cardinal Dynamics 	24 [PNW District Clackamas Academy Event] 	21 [PNW District Wilsonville Event] 	--- 	--- 	5
34 	49 	2907 - Lion Robotics 	6 [PNW District Mount Vernon Event] 	43 [PNW District Auburn Event] 	--- 	--- 	0
35 	49 	6465 - Mystic Biscuit 	44 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	5
36 	49 	568 - Nerds of the North 	21 [PNW District Wilsonville Event] 	28 [PNW District Auburn Event] 	--- 	--- 	0
37 	46 	4682 - BraveBots 	46 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
38 	44 	3024 - My Favorite Team 	44 [PNW District Wilsonville Event] 	Not Played 	Qualified 	--- 	0
39 	43 	2635 - Lake Monsters 	43 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
40 	42 	4127 - LoggerBots 	18 [PNW District Clackamas Academy Event] 	24 [PNW District Wilsonville Event] 	--- 	--- 	0
